stop_id,stop_code,stop_name,stop_lat,stop_lon,routes,district_id,patterns,municipality_id
150083,,Maçã ( Estrada Nacional 379 ) Posto Repsol,38.473824,-9.081745,"{3635_0, 3640_0, 3641_0, 3642_0}",15,"{3635_0_1, 3640_0_2, 3641_0_1, 3642_0_2}",1511
150086,,Maçã ( Estrada Nacional 379 ) Posto Repsol,38.474089,-9.08076,"{3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3625_0_2, 3635_0_2, 3640_0_1, 3641_0_2, 3642_0_1}",1511
150087,,Maçã ( Estrada Nacional 379 ) Paragem Zona,38.475509,-9.078595,"{3212_0, 3216_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3212_0_1, 3216_0_1, 3635_0_1, 3640_0_2, 3641_0_1, 3642_0_2}",1511
150090,,Maçã ( Estrada Nacional 379 ) Paragem Zona,38.475422,-9.078286,"{3212_0, 3216_0, 3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3212_0_2, 3216_0_2, 3625_0_2, 3635_0_2, 3640_0_1, 3641_0_2, 3642_0_1}",1511
150091,,Maçã ( Estrada Nacional 379 ) Calhariz,38.480146,-9.073599,"{3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3625_0_1, 3635_0_1, 3640_0_2, 3641_0_1, 3642_0_2}",1511
150092,,Maçã ( Estrada Nacional 379 ) Calhariz,38.479839,-9.07355,"{3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3625_0_2, 3635_0_2, 3640_0_1, 3641_0_2, 3642_0_1}",1511
150093,,Alto Vinhas ( Estrada Nacional 379 ),38.487226,-9.063044,"{3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3625_0_1, 3635_0_1, 3640_0_2, 3641_0_1, 3642_0_2}",1511
150094,,Alto Vinhas ( Estrada Nacional 379 ),38.487557,-9.062207,"{3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3625_0_2, 3635_0_2, 3640_0_1, 3641_0_2, 3642_0_1}",1511
150095,,Quinta Rio ( Estrada Nacional 379 ),38.493369,-9.055316,"{3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3625_0_2, 3635_0_2, 3640_0_1, 3641_0_2, 3642_0_1}",1511
150096,,Quinta Rio ( Estrada Nacional 379 ),38.493608,-9.055566,"{3625_0, 3635_0, 3640_0, 3641_0, 3642_0}",15,"{3625_0_1, 3635_0_1, 3640_0_2, 3641_0_1, 3642_0_2}",1511
150097,,Sampaio ( Cruzamento Entre ( Estrada Nacional 379 ) E Calçada Oliveiras ),38.469363,-9.089208,"{3549_0, 3625_0, 3640_0, 3641_0, 3642_0}",15,"{3549_0_2, 3625_0_1, 3640_0_2, 3641_0_1, 3642_0_2}",1511
150099,,Casal Sapo ( Avenida 10 De Junho ) Supermercado,38.555212,-9.087472,"{3107_0, 3540_0, 3542_0, 3544_0, 3548_0, 3549_0, 3549_1}",15,"{3107_0_1, 3540_0_1, 3542_0_2, 3544_0_1, 3548_0_1, 3549_0_2, 3549_1_2}",1511
150101,,Aldeia Meco ( Rua Praia M Baixo ) Centro,38.471731,-9.169576,"{3201_0, 3208_0, 3209_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3208_0_1, 3209_0_2, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150102,,Aldeia Do Meco ( Rua Praia M Baixo ) Centro,38.471654,-9.169659,"{3201_0, 3208_0, 3209_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3208_0_2, 3209_0_1, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150103,,Aldeia Meco ( Rua Praia Moinho Baixo 20 ),38.473343,-9.170111,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150104,,Aldeia Do Meco ( Rua Praia Moinho Baixo 20 ),38.473312,-9.170195,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150105,,Aldeia Do Meco ( Rua Praia Moinho Baixo 46 ),38.474817,-9.171027,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150106,,Aldeia Do Meco ( Rua Praia Moinho Baixo 46 ),38.474657,-9.171014,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150107,,Aldeia Do Meco ( Cruzamento Entre ( Rua Praia M Baixo ) E Rua Curvais ),38.47821,-9.174148,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150108,,Aldeia Do Meco ( Cruzamento Entre ( Rua Praia M Baixo ) E Rua Curvais ),38.478256,-9.174069,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150109,,Aldeia Do Meco ( Rua Praia Moinho Baixo 106 ),38.481082,-9.174779,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150110,,Aldeia Do Meco ( Rua Praia Moinho Baixo 106 ),38.481029,-9.174857,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150111,,Aldeia Do Meco ( Rua Praia M Baixo ) Torrões,38.482938,-9.175899,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3542_0, 3640_0}",15,"{3201_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3542_0_2, 3640_0_1}",1511
150112,,Aldeia Do Meco ( Rua Praia M Baixo ) Torrões,38.482832,-9.175982,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3542_0, 3640_0}",15,"{3201_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3542_0_1, 3640_0_2}",1511
150113,,Aldeia Do Meco ( Estrada Marconi ) Artesanato,38.478162,-9.164751,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3542_0, 3640_0}",15,"{3201_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3542_0_1, 3640_0_2}",1511
150114,,Aldeia Do Meco ( Estrada Marconi ) Artesanato,38.478042,-9.164751,"{3201_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3542_0, 3640_0}",15,"{3201_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3542_0_2, 3640_0_1}",1511
150115,,Alfarim ( Estrada Nacional 377 ) Centro,38.476917,-9.160503,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3202_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150116,,Alfarim ( Estrada Nacional 377 ) Centro,38.476826,-9.160501,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3202_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150117,,Alfarim ( Estrada Nacional 377 ) Escola,38.474303,-9.155322,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3202_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150118,,Alfarim ( Estrada Nacional 377 ) Escola,38.474315,-9.155465,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3202_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150119,,Caixas ( Estrada Nacional 377 ) Posto Cepsa,38.471627,-9.152997,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3202_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
150120,,Caixas ( Estrada Nacional 377 ) Posto De Abastecimento,38.471523,-9.153085,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3202_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150121,,Caixas ( Estrada Nacional 377 ) Caixeirense,38.469642,-9.150084,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_1, 3202_0_1, 3208_0_1, 3210_0_1, 3211_0_1, 3215_0_1, 3540_0_2, 3640_0_1}",1511
150122,,Caixas ( Estrada Nacional 377 Caixeirense ),38.469695,-9.149985,"{3201_0, 3202_0, 3208_0, 3210_0, 3211_0, 3215_0, 3540_0, 3640_0}",15,"{3201_0_2, 3202_0_2, 3208_0_2, 3210_0_2, 3211_0_2, 3215_0_2, 3540_0_1, 3640_0_2}",1511
