line_id,line_name,line_routes,line_pattern,color,municipality_id
3519,Costa da Caparica (Terminal) - Corroios (Estação),['3519_0'],"['3519_0_2', '3519_0_1']",#C61D23,"['1503', '1510']"
3520,Costa da Caparica (Terminal) - Quinta do Brasileiro,['3520_0'],"['3520_0_2', '3520_0_1']",#C61D23,"['1503', '1510']"
3521,Cruz de Pau - Fonte da Telha,"['3521_1', '3521_0']","['3521_1_2', '3521_1_1', '3521_0_2', '3521_0_1']",#C61D23,"['1510', '1503']"
3522,Fonte da Telha - Paio Pires (Centro),['3522_0'],"['3522_0_2', '3522_0_1']",#C61D23,"['1503', '1510']"
3523,"Fonte da Telha - Paio Pires (Quinta Flamância), via Seixal (Terminal Fluvial) e Foros de Amora (Estação)","['3523_1', '3523_0']","['3523_1_2', '3523_1_1', '3523_0_2', '3523_0_1']",#C61D23,"['1503', '1510']"
3524,Hospital Garcia de Orta - Marisol,['3524_0'],"['3524_0_2', '3524_0_1']",#C61D23,"['1503', '1510']"
3525,Hospital Garcia de Orta - Miratejo,['3525_0'],"['3525_0_2', '3525_0_1']",#C61D23,"['1503', '1510']"
3526,Laranjeiro - Pinheirinho,"['3526_1', '3526_0']","['3526_1_2', '3526_1_1', '3526_0_2', '3526_0_1']",#C61D23,"['1503', '1510']"
3527,Monte da Caparica (FCT) - Paio Pires (Bairro Cucena),"['3527_1', '3527_0']","['3527_1_1', '3527_0_2', '3527_0_1']",#C61D23,"['1503', '1510']"
3528,Monte da Caparica (FCT) - Paio Pires (Centro),['3528_0'],"['3528_0_2', '3528_0_1']",#C61D23,"['1503', '1510']"
3535,Cacilhas (Terminal) - Quinta do Conde,['3535_0'],"['3535_0_2', '3535_0_1']",#C61D23,"['1503', '1510', '1511']"
3536,Cacilhas (Terminal) - Sesimbra (Terminal),"['3536_1', '3536_0']","['3536_1_1', '3536_0_2', '3536_0_1']",#C61D23,"['1503', '1510', '1511']"
3540,Zambujal - Coina (Estação),['3540_0'],"['3540_0_2', '3540_0_1']",#C61D23,"['1511', '1510']"
3541,"Coina (Estação) - Fernão Ferro, via Casal do Sapo e Pinhal do General",['3541_0'],"['3541_0_2', '3541_0_1']",#C61D23,"['1510', '1511']"
3542,Coina (Estação) - Praia do Meco,['3542_0'],"['3542_0_2', '3542_0_1']",#C61D23,"['1510', '1511']"
3543,"Coina (Estação) - Quinta do Conde, via Estrada de Coina",['3543_0'],"['3543_0_2', '3543_0_1']",#C61D23,"['1504', '1510', '1511']"
3544,Sesimbra (Terminal) - Coina (Estação) via Marco do Grilo,['3544_0'],"['3544_0_2', '3544_0_1']",#C61D23,"['1511', '1510']"
3545,Corroios (Estação) - Sesimbra (Terminal),['3545_0'],"['3545_0_2', '3545_0_1']",#C61D23,"['1510', '1511']"
3546,Cruz de Pau - Quinta do Conde,['3546_0'],"['3546_0_2', '3546_0_1']",#C61D23,"['1510', '1511']"
3547,Fogueteiro (Estação) - Quinta do Conde,['3547_0'],"['3547_0_2', '3547_0_1']",#C61D23,"['1510', '1511']"
3548,Marco do Grilo - Quinta do Conde,['3548_0'],"['3548_0_2', '3548_0_1']",#C61D23,"['1511', '1510']"
3549,"Quinta do Conde - Sesimbra (Terminal), via Sampaio e Marco do Grilo","['3549_1', '3549_0']","['3549_1_2', '3549_1_1', '3549_0_2', '3549_0_1']",#C61D23,"['1511', '1510']"
3590,Estação de Coina – Festival SBSR,['3590_0'],"['3590_0_2', '3590_0_1']",#C61D23,"['1504', '1511']"
3601,Barreiro - Cova da Piedade (Metro),['3601_0'],"['3601_0_2', '3601_0_1']",#C61D23,"['1504', '1510', '1503']"
3605,"Cacilhas (Terminal) - Setúbal (ITS), via Azeitão",['3605_0'],"['3605_0_2', '3605_0_1']",#C61D23,"['1503', '1510', '1504', '1511', '1512']"
3615,Barreiro - Seixal,['3615_0'],"['3615_0_2', '3615_0_1']",#C61D23,"['1504', '1510', '1506']"
3620,Coina (Estação) - Quinta do Conde,['3620_0'],"['3620_0_2', '3620_0_1']",#C61D23,"['1510', '1504', '1511']"
3625,Barreiro - Sesimbra (Terminal),['3625_0'],"['3625_0_2', '3625_0_1']",#C61D23,"['1504', '1511', '1512']"
3626,Coina (Estação) - Vila Nogueira de Azeitão,['3626_0'],"['3626_0_2', '3626_0_1']",#C61D23,"['1504', '1511', '1512']"
3635,"Coina (Estação) - Sesimbra (Terminal), via Azeitão e Sampaio",['3635_0'],"['3635_0_2', '3635_0_1']",#C61D23,"['1504', '1511', '1512']"
3640,Azoia - Vila Nogueira de Azeitão,['3640_0'],"['3640_0_2', '3640_0_1']",#C61D23,"['1511', '1512']"
3641,"Quinta do Conde - Sampaio, via Azeitão",['3641_0'],"['3641_0_2', '3641_0_1']",#C61D23,"['1511', '1512']"
3642,Sesimbra (Terminal) - Setúbal (Hospital),['3642_0'],"['3642_0_2', '3642_0_1']",#C61D23,"['1511', '1512']"
3650,Moita - Sesimbra (Terminal),['3650_0'],"['3650_0_2', '3650_0_1']",#0C807E,"['1506', '1504', '1510', '1511']"
3701,Cova da Piedade (HPA) - Algés (Terminal),['3701_0'],"['3701_0_2', '3701_0_1']",#C61D23,"['1503', '1106', '1110']"
3702,Almada (Parque Urbano) - Lisboa (C. Universitária),['3702_0'],"['3702_0_2', '3702_0_1']",#C61D23,"['1503', '1106']"
3703,Almada (Parque Urbano) - Lisboa (Areeiro),"['3703_1', '3703_0']","['3703_1_1', '3703_0_2', '3703_0_1']",#C61D23,"['1503', '1106']"
3704,Charneca da Caparica - Lisboa (M. Pombal),['3704_0'],"['3704_0_2', '3704_0_1']",#C61D23,"['1503', '1106']"
3705,Charneca da Caparica (Centro) - Lisboa (Sete Rios),['3705_0'],"['3705_0_2', '3705_0_1']",#C61D23,"['1503', '1106']"
